"ItemCode","Item","Description","CPCCode","HSCode","HS07Code","HS12Code"
"809","Abaca, manila hemp, raw","Musa textilis   The fibre is obtained from stalks of certain banana trees (Unofficial definition)","01929.07","","530500","530500"
"800","Agave fibres, raw, n.e.c.","Including inter alia: Haiti hemp (Agave foetida); henequen (A. fourcroydes); ixtle, tampico (A. lecheguilla); maguey (A. cantala); pita (A. americana); Salvador hemp (A. letonae)   The leaves of some agave varieties are used for the production of alcoholic beverages, such as aquamiel, mezcal, pulque and tequila. (Unofficial definition)","01929.06","","530500","530500"
"2051","Agriculture","","F2051","","",""
"221","Almonds, in shell","Almonds, in shell This subclass is defined through the following headings/subheadings of the HS 2007: 0802.11.","01371","","080211","080211"
"711","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw This subclass includes: - aniseed, Pimpinella anisum, raw - star anise (badian) or Chinese star anise, Illicium verum, raw - fennel, Foeniculum vulgare, raw (when used as spice) - coriander (cilantro), Coriandrum sativum, raw - cumin, Cuminum cyminum, raw - caraway seeds, Carum carvi, raw -  juniper berries, Juniperus communis, raw This subclass does not include: - fennel (when used as a vegetable), cf. 01290 -  processed anise, fennel, coriander, cumin, caraway and juniper berries, cf. 23924","01654","","090910, 090920, 090930, 090940, 090950","090921, 090922, 090931, 090932, 090961, 090962"
"515","Apples","Apples This subclass is defined through the following headings/subheadings of the HS 2007: 0808.10.","01341","","080810","080810"
"526","Apricots","Apricots This subclass is defined through the following headings/subheadings of the HS 2007: 0809.10.","01343","","080910","080910"
"226","Areca nuts","Areca nuts, species of Areca catechu, also known as betel nut, in shell, produced mainly in the Far East. Areca nuts are used mainly as masticatory. These nuts contain alkaloids (arecoline and arecaidine). (Unofficial definition)","01379.01","","080290","080280"
"366","Artichokes","Artichokes This subclass includes: -  artichokes, Cynara scolymus This subclass does not include: -  Jerusalem artichokes, cf. 01599","01216","","070990","070991"
"367","Asparagus","Asparagus This subclass is defined through the following headings/subheadings of the HS 2007: 0709.20.","01211","","070920","070920"
"572","Avocados","Avocados This subclass includes: - avocados, Persea americana","01311","","080440","080440"
"839","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip This subclass is defined through the following headings/subheadings of the HS 2007: 4001.30.","03211","","400130","400130"
"203","Bambara beans, dry","Bambara beans, dry This subclass is defined through the following headings/subheadings of the HS 2007: 0713.34.","01708","","071339","071334"
"486","Bananas","Bananas This subclass includes: - sweet/dessert bananas, Musa sapientum, M. cavendishii, M. nana, i.e. bananas that can be eaten without further preparation This subclass does not include: -  plantains, cooking bananas, Musa paradisiaca, cf. 01313","01312","","080300","080390"
"44","Barley","Barley","0115","","100300","100310, 100390"
"176","Beans, dry","Beans, dry This subclass includes: -  beans, species of Phaseolus (vulgaris, lunatus, angularis, aureus, etc.) -  beans, species of Vigna (angularis, mungo, radiata, unguiculata, etc.) This subclass does not include: - soya beans, cf. 0141 - green beans, cf. 01241 - lentils, green, cf. 01249 -  bean shoots and sprouts, cf. 01290 - locust beans (carobs), cf. 01356 - castor beans, cf. 01449 -  broad beans and horse beans, dry, cf. 01702 - garbanzo beans (chickpeas), dry, cf. 01703 - lentils, dry, cf. 01704","01701","","071331, 071332, 071333, 071339","071331, 071332, 071333, 071339"
"1183","Beeswax","The substance bees use to build the hexagonal cells of the combs of beehives. Includes other insect waxes as well, i.e. lac and Chinese wax. (Unofficial definition)","02960.01","","152190","152190"
"552","Blueberries","This subclass includes blueberries, species of Vaccinium myrtillus (European blueberry, wild bilberry, whortleberry) andVaccinium corymbosum (American blueberry) (Unofficial definition)","01355.01","","081040","081040"
"216","Brazil nuts, in shell","Brazil nuts, in shell This subclass is defined through the following headings/subheadings of the HS 2007: 0801.21.","01377","","080121","080121"
"181","Broad beans and horse beans, dry","Broad beans and horse beans, dry This subclass is defined through the following headings/subheadings of the HS 2007: 0713.50.","01702","","071350","071350"
"420","Broad beans and horse beans, green","Broad beans and horse beans, green This subclass includes: -  broad beans ( Vicia faba var. major) -  horse beans ( Vicia faba var. equina, Vicia faba var. minor)","01243","","070890","070890"
"89","Buckwheat","Buckwheat This subclass is defined through the following headings/subheadings of the HS 2007: 1008.10.","01192","","100810","100810"
"949","Buffalo fat, unrendered","Buffalo fat, unrendered This subclass includes: - fat from buffalos, animals of subclass 02112, unrendered This subclass does not include: -  tallow, fat from buffalos, rendered, cf. 21523 -  marrow, bone or foot oil and their fractions, from buffalo, cf. 21529","21513","","150200","150290"
"358","Cabbages","Cabbages This subclass is defined through the following headings/subheadings of the HS 2007: 0704.20, .90.","01212","","070420, 070490","070420, 070490"
"101","Canary seed","Canary seed This subclass is defined through the following headings/subheadings of the HS 2007: 1008.30.","01195","","100830","100830"
"568","Cantaloupes and other melons","Cantaloupes and other melons This subclass is defined through the following headings/subheadings of the HS 2007: 0807.19.","01229","","080719","080719"
"426","Carrots and turnips","Carrots and turnips This subclass is defined through the following headings/subheadings of the HS 2007: 0706.10.","01251","","070610","070610"
"217","Cashew nuts, in shell","Cashew nuts, in shell This subclass is defined through the following headings/subheadings of the HS 2007: 0801.31.","01372","","080131","080131"
"591","Cashewapple","Cashewapple, species of Anacardium occidentale, is the thickened, fleshy stem below the cashew nut. When soft it is used for jam. (Unofficial definition)","01359.02","","081090","081090"
